year spawn	recruits
1948 0.670622 1.90856
1949 0.058247 0.617361
1950 0.017308 0.203432
1951 0.098315 0.739789
1952 0.485585 1.838737
1953 0.200691 0.61492
1954 0.034296 0.695438
1955 0.121167 1.479484
1956 0.646906 2.42169
1957 0.138464 0.138089
1958 0.120104 0.422514
1959 0.46306 2.187519
1960 0.426546 1.046818
1961 0.039101 0.068788
1962 0.077713 0.974887
1963 0.998231 1.163912
1964 0.238272 2.031487
1965 0.035335 0.155375
1966 0.209619 0.861265
1967 0.174715 1.96545
1968 0.413862 2.412689
1969 0.070902 0.397863
1970 0.135388 0.66754
1971 0.14599 0.575443
1972 0.560767 1.900779
1973 0.055675 0.203224
1974 0.109563 0.579665
1975 0.199739 1.469885
1976 0.361752 1.61109
1977 0.049539 0.192317
1978 0.143402 1.21345
1979 0.234924 1.531222
1980 0.467812 3.998705
1981 0.03436 0.198494
1982 0.239903 1.467136
1983 0.32922 1.554172
1984 0.452618 0.452763
1985 0.071435 0.512077
1986 0.281771 4.747236
1987 0.239601 4.405446
1988 0.254668 3.292866
1989 0.053039 3.10553
1990 0.825837 2.615867
1991 1.037737 1.406833
1992 0.511267 1.870473
1993 0.555226 3.885634
1994 0.450745 1.219313
1995 0.534559 1.270959
1996 0.974349 1.3684
1997 0.985827 0.881882
1998 0.87901 0.417327
