Recruitment,SSB,N0
1950.25,6.916,224134.142
1951.25,7.954,235625.7452
1952.25,3.604,134591.5614
1953.25,3.074,123007.4252
1954.25,2.188,221903.9701
1955.25,4.214,230960.0429
1956.25,4.342,276509.3735
1957.25,3.696,282095.2334
1958.25,3.456,58688.55427
1959.25,1.702,156373.0848
1960.25,4.459,282095.2334
1961.25,2.637,351512.3061
1962.25,5.534,268337.2865
1963.25,3.719,194852.8622
1964.25,7.373,204843.1821
1965.25,4.937,519176.925
1966.25,5.85,200787.0153
1967.25,6.834,219695.9887
1968.25,6.742,103777.0368
1969.25,7.124,455886.8857
1970.25,13.184,190994.517
1971.25,5.732,125492.34
1972.25,3.939,172818.9857
1973.25,2.115,164390.5043
1974.25,4.099,154817.1466
1975.25,2.843,115844.0304
1976.25,4.194,86681.86748
1977.25,2.114,73865.41499
1978.25,1.235,99707.881
1979.25,2.41,35596.40754
1980.25,2.092,32532.66694
1981.25,1.325,44801.63889
1982.25,1.445,82454.34292
1983.25,1.654,29732.61885
1984.25,4.337,31571.18132
1985.25,2.782,153276.6902
1986.25,11.563,50513.70679
1987.25,3.667,117008.2823
1988.25,3.425,187212.5722
1989.25,7.939,62943.95461
1990.25,4.196,167711.4127
1991.25,3.551,73130.44183
1992.25,1.577,198789.1511
1993.25,4.785,174555.8453
1994.25,10.737,91126.14187
1995.25,6.299,125492.34
1996.25,4.504,154817.1466
1997.25,6.727,75357.59536
1998.25,2.777,103777.0368
1999.25,7.131,190994.517
2000.25,11.659,140084.3472
2001.25,6.194,144350.5507
2002.25,12.45,161135.3542
2003.25,6.439,219695.9887
2004.25,10.477,90219.4216
2005.25,12.684,198789.1511
2006.25,12.382,140084.3472
2007.25,7.745,94845.07026
2008.25,6.194,140084.3472
2009.25,3.616,156373.0848
2010.25,5.395,296558.5653
2011.25,11.128,114691.3631
2012.25,9.874,171099.408
2013.25,8.481,117008.2823
2014.25,7.059,138690.4846
2015.25,5.836,109097.7993
2016.25,3.37,206901.8903
2017.25,6.072,59278.38405
